"","Projeto","...2","Ano","...4","Tipo","...6","Autor","...8","Ementa","...10","Situação"
"1",1,"   ",2021,NA,"Projeto de Lei",NA,"Juraci Scheffer",NA,"Altera e acrescenta dispositivos na Lei Municipal n. 14.138, de 21 de dezembro de 2020, que Dispõe sobre o direito de preferência à vacinação contra a covid-19 (novo coronavírus), no Município de Juiz de Fora, às pessoas prioritárias e inclusas no grupo de risco que menciona",NA,"Em Tramitação"
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",136,"   ",2020,NA,"Projeto de Lei",NA,"Wanderson Castelar",NA,"Dispõe sobre a denominação de próprio municipal",NA,"Arquivada"
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",135,"   ",2020,NA,"Projeto de Lei",NA,"Júlio Obama Jr.",NA,"Dispõe sobre concessão de Título Cidadão Honorífico. (Fernando Passalio de Avelar.)",NA,"Em Tramitação"
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",134,"   ",2020,NA,"Projeto de Lei",NA,"Júlio Obama Jr.",NA,"Dispõe sobre concessão de Título Cidadão Honorífico. (Romeu Zema Neto.)",NA,"Arquivada"
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",133,"   ",2020,NA,"Projeto de Lei",NA,"Rodrigo Mattos",NA,"Dispõe sobre Título de Cidadão Honorário de Juiz de Fora ao Sr. Leonardo Mendes do Valle Gomes.",NA,"Em Tramitação"
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",132,"   ",2020,NA,"Projeto de Lei",NA,"Sargento Mello Casal",NA,"“Revoga dispositivo da lei municipal 13.012 de 22 de julho de 2014.”",NA,"Em Tramitação"
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",131,"   ",2020,NA,"Projeto de Lei",NA,"Júlio Obama Jr.",NA,"Dispõe sobre concessão de Título Cidadão Honorífico. (Igor Tarciano Timo.)",NA,"Em Tramitação"
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",130,"   ",2020,NA,"Projeto de Lei",NA,"Juraci Scheffer",NA,"Autoriza a adoção, pelo município de Juiz de Fora, do método de trabalho home office ou teletrabalho por circunstâncias alheias que impeçam o acesso e o uso do espaço público local do serviço público e diante de estado de calamidade pública ou necessidade de isolamento social por causa de epidemia ou pandemia viral ou ...",NA,"Em Tramitação"
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",129,"   ",2020,NA,"Projeto de Lei",NA,"Wanderson Castelar",NA,"Altera o inciso VII do § 1º, artigo 31, da lei 6.908/1986, que dispõe sobre o parcelamento do solo no município de Juiz de Fora.",NA,"Arquivada"
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",128,"   ",2020,NA,"Projeto de Lei",NA,"Pardal",NA,"Altera o artigo 17 da Lei Municipal nº 10.862, de 22 de dezembro de 2004, com suas alterações posteriores, que Dispõe sobre o Imposto sobre Transmissão de Bens Imóveis Inter Vivos e dá outras providências.",NA,"Em Tramitação"
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",127,"   ",2020,NA,"Projeto de Lei",NA,"Wanderson Castelar",NA,"Dispõe sobre a denominação de próprio municipal (Unidade Básica de Saúde Papa João Paulo I)",NA,"Transformado em Norma Jurídica"
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",126,"   ",2020,NA,"Projeto de Lei",NA,"Wanderson Castelar",NA,"“Dispõe sobre denominação de próprios municipais.” (Centro de Referência Especializado de Assistência Social Elpídio de Souza Soares)",NA,"Transformado em Norma Jurídica"
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",125,"   ",2020,NA,"Projeto de Lei",NA,"Wanderson Castelar",NA,"Dispõe sobre a denominação de próprio municipal. (QUADRA POLIESPORTIVA JOACYR SOARES DE LIMA - EURICO)",NA,"Transformado em Norma Jurídica"
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",124,"   ",2020,NA,"Projeto de Lei",NA,"Wanderson Castelar",NA,"Dispõe sobre a denominações de Unidades Básicas de Saúde. (UNIDADE BÁSICA DE SAÚDE DOM CLÓVIS FRAINER)",NA,"Transformado em Norma Jurídica"
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",123,"   ",2020,NA,"Projeto de Lei",NA,"Wanderson Castelar",NA,"“Dispõe sobre denominação de próprios municipais e dá outras providências.” (SERVIÇO DE CONVIVÊNCIA E FORTALECIMENTO DE VÍNCULOS PROFESSORA ANNA MARIA TEIXEIRA PASSOS)",NA,"Transformado em Norma Jurídica"
"30",122,"   ",2020,NA,"Projeto de Lei",NA,"Wanderson Castelar",NA,"Dispõe sobre a denominação de próprios municipais. (Centro de Referência Especializado de Assistência Social Rosemeire de Almeida Andrade)",NA,"Transformado em Norma Jurídica"
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
