Projeto;;Ano;;Tipo;;Autor;;Ementa;;Situação
127;   ;2021;;Moção;;Maurício Delgado;;Moção de Aplauso ao 4º Grupo de Artilharia Leve de Montanha, Grupo Marquês de Barbacena, pelo dia da Artilharia, que ocorre no dia 10 de junho.;;Aprovado
;;;;;;;;;;
126;   ;2021;;Moção;;Juraci Scheffer;;Moção de Aplauso ao Conselho de Pastores Evangélicos de Juiz de Fora-MG - CONPAS – na pessoa do seu presidente, o Revdo. Sr. Pastor Charles Marçal, Ex-Presidentes e demais Pastores Membros, pelos seus 30 anos de fundação a serviço do Evangelho e do Reino de Deus para o bem, a instrução e a santificação do Povo de Deus em Juiz de Fora;;Aprovado
;;;;;;;;;;
125;   ;2021;;Moção;;Tallia Sobral;;MOÇÃO DE APLAUSO ao Sr. Jonathan Gonzaga do Carmo pelas campanhas de solidariedade realizadas em conjunto com as Costureiras do Bem.;;Aprovado
;;;;;;;;;;
124;   ;2021;;Moção;;Bejani Júnior;;MOÇÃO DE PESAR pelo falecimento Herói de Guerra, Veterano da FEB o 2º Tenente Nílton Duin.;;Aprovado
;;;;;;;;;;
123;   ;2021;;Moção;;Bejani Júnior;;Moção de Aplausos ao Dr. Mário Lúcio de Oliveira Novaes pelos anos de dedicação como pediatra e infectologista no município de Juiz de Fora, principalmente atuando na linha de frente no combate à Covid-19 e com informações para a população sobre a Pandemia.;;Aprovado
;;;;;;;;;;
122;   ;2021;;Moção;;Tiago Bonecão;;Moção de Aplausos ao Policial Militar da reserva Edimar Marquini;;Aprovado
;;;;;;;;;;
121;   ;2021;;Moção;;Bejani Júnior;;MOÇÃO DE PESAR pelo falecimento da Senhor Geraldo Corrêa Rodrigues.;;Aprovado
;;;;;;;;;;
120;   ;2021;;Moção;;Bejani Júnior;;MOÇÃO DE PESAR pelo falecimento da Senhora Flaurinda da Luz Mariano.;;Aprovado
;;;;;;;;;;
119;   ;2021;;Moção;;Dr. Antônio Aguiar;;MOÇÃO DE APLAUSO ao jovem paratleta nadador Gabriel Geraldo Araújo;;Aprovado
;;;;;;;;;;
118;   ;2021;;Moção;;Dr. Antônio Aguiar;;MOÇÃO DE APLAUSO ao Sr. Fábio Antunes;;Aprovado
;;;;;;;;;;
117;   ;2021;;Moção;;Nilton Militão;;MOÇÃO DE APLAUSO E CONGRATULAÇÕES ao BISPO EMIR CASTRO DE MACEDO, Presidente Internacional - Nacional e Fundador da Casa de Oração Pentecostal Vida Nova pelos 50 anos de dedicação ao ministério pastoral. ;;Aprovado
;;;;;;;;;;
116;   ;2021;;Moção;;Bejani Júnior;;Moção de Aplausos a Empresa Rei dos Faróis e Para-Choque em reconhecimento a sua história no município de Juiz de Fora.;;Aprovado
;;;;;;;;;;
115;   ;2021;;Moção;;Tiago Bonecão;;Moção de Aplausos a Gerente de atendimento ao serviço de creches da AMAC- Silvana Spatin;;Aprovado
;;;;;;;;;;
114;   ;2021;;Moção;;Laiz Perrut;;Moção de Aplauso aos 35 anos do Movimento Negro Unificado em Juiz de Fora;;Aprovado
;;;;;;;;;;
113;   ;2021;;Moção;;Cida Oliveira;;Moção de Aplausos à Doutora Cláudia Bueno, médica ginecologista, por seus excelentes serviços prestados com muita técnica, cuidado e zelo às mulheres e à comunidade LGBTQIA+ de Juiz de Fora a frente do Departamento De Saúde da Mulher da Criança e Adolescente (DSMCA);;Aprovado
;;;;;;;;;;
112;   ;2021;;Moção;;Marlon Siqueira;;Moção de Pesar pelo falecimento do colunista e cidadão benemérito de Juiz de Fora Eduardo Gomes;;Aprovado
;;;;;;;;;;
111;   ;2021;;Moção;;Bejani Júnior;;Moção de Aplausos aos envolvidos no trabalho realizado nesse período de Pandemia na Regional Leste, em reconhecimento pelos serviços prestados a nossa cidade.;;Aprovado
;;;;;;;;;;
110;   ;2021;;Moção;;Cida Oliveira;;Moção de Aplausos ao Sr. Julio Cesar de Oliveira Ribeiro, Júlio de T’Omulu, líder religioso da Comunidade do Senhor da Terra e da Mãe dos Filhos de Peixes (EGBÉ OLÚWÁIYE ATÍ YEMONJÁ);;Aprovado
;;;;;;;;;;
109;   ;2021;;Moção;;Kátia Franco Protetora;;Moção de Aplausos ao Sr. Carlos Alberto Bejani em homenagem aos 30 anos do Banco de Leite Humano de Juiz de Fora.;;Aprovado
;;;;;;;;;;
108;   ;2021;;Moção;;Cido Reis;;MOÇÃO DE APLAUSO à JORGE LUIZ SOARES. Destaca-se trabalho exercído pelos trinta anos de funcionário Público Federal. Além de exercer a função de assessor Legislativo pela Câmara Municipal de Juiz de Fora. Líder comunitário, homem com referência religiosa e de competências em trabalhos voluntários e ações sociais. ;;Aprovado
;;;;;;;;;;
107;   ;2021;;Moção;;Cido Reis;;MOÇÃO DE APLAUSO à JÚLIO CÉSAR DE OLIVEIRA . Destaca-se pelo trabalho exercido na comunidade da força da Casa do Senhor da terra e da mãe dos filhos peixes. ;;Aprovado
;;;;;;;;;;
106;   ;2021;;Moção;;Cido Reis;;MOÇÃO DE APLAUSO à MARTINHO ANTÔNIO CAETANO. Destaca-se essa figura MARTINHO ANTÔNIO CAETANO, por ser especialista em pizzas com formação na Itália e no Brasil, sendo um grande divulgador da culinária Italiana em Minas Gerais. Martinho também se consagra compositor e amante do samba brasileiro. Participou do Bi Campeonato do Graces Real Grandeza, em 1995. Em 2015 também participou do enredo pelo Graces Juventude Imperial. Desfilou na Marquês de Sapucai na ala dos compositores da Gres unidos da Tijuca. Mas foi em Juiz de Fora e em Santos Dumont que trabalhou para o engrandecimento da cultura do Carnaval de Escolas de Samba. ;;Aprovado
;;;;;;;;;;
105;   ;2021;;Moção;;Dr. Antônio Aguiar;;MOÇÃO DE PESAR pelo falecimento do Dr. Áureo Carneiro Fortuna.;;Aprovado
;;;;;;;;;;
104;   ;2021;;Moção;;Marlon Siqueira;;Moção de Pesar pelo falecimento do reconhecido advogado e ex-presidente do Tupi Football Club, Áureo Carneiro Fortuna;;Aprovado
;;;;;;;;;;
103;   ;2021;;Moção;;Kátia Franco Protetora;;Por isso, acreditamos serem merecedores da Moção de Aplauso desta casa, os senhores Natan Keil e Silvio Vieira de Souza pelo empenho na melhora de serviços públicos do bairro Granbery e para a empresa Super Clean, pelo destaque em ser um instrumento de apoio para conquista de benefícios para os moradores do Granbery .;;Aprovado
;;;;;;;;;;
102;   ;2021;;Moção;;Laiz Perrut;;Moção de Aplauso aos Profissionais do HPS;;Aprovado
;;;;;;;;;;
101;   ;2021;;Moção;;Kátia Franco Protetora;;Moção Policia Ambiental;;Aprovado
;;;;;;;;;;
100;   ;2021;;Moção;;Laiz Perrut;;Moção de Aplausos as Trabalhadoras da Casa da Mulher;;Aprovado
;;;;;;;;;;
99;   ;2021;;Moção;;Laiz Perrut;;Moção de Apoio ao PL 2564/2020 que estabelece piso salarial e carga horária de trabalho para enfermeiros, técnicos, auxiliares de enfermagem e parteiras;;Aprovado
;;;;;;;;;;
98;   ;2021;;Moção;;Kátia Franco Protetora;;Moção de aplausos aos Policias Penais.;;Aprovado
;;;;;;;;;;
97;   ;2021;;Moção;;Juraci Scheffer;;Moção de Pesar pelo lamentável falecimento do Ilustríssimo Sr. Dr. Alfredo Salomão, irmão da Excelentíssima Sra. Prefeita de Juiz de Fora, Professora Margarida Salomão;;Aprovado
;;;;;;;;;;
