Projeto;;Ano;;Tipo;;Autor;;Ementa;;Situação
118;   ;2021;;Projeto de Lei;;Bejani Júnior;;Dispõe sobre a obrigatoriedade da instituição bancária realizar visita domiciliar para prova de vida de beneficiários do INSS e outras previdências em situação que impossibilita o comparecimento à agência.;;Em Tramitação
;;;;;;;;;;
117;   ;2021;;Projeto de Lei;;Sargento Mello Casal;;Garante aos estudantes do município de Juiz de Fora o direito ao aprendizado da língua portuguesa de acordo com as normas e orientações legais de ensino na forma que menciona.;;Em Tramitação
;;;;;;;;;;
116;   ;2021;;Projeto de Lei;;Kátia Franco Protetora;;Concede desconto de até 20% (vinte por cento) no valor do IPTU para o contribuinte residencial que adotar animal doméstico registrado no Canil Municipal.;;Arquivada
;;;;;;;;;;
115;   ;2021;;Projeto de Lei;;André Luiz, Julinho Rossignoli, Nilton Militão, Tiago Bonecão;;Institui a Semana Municipal de Prevenção de Acidentes Domésticos com Idosos e dá outras providências;;Em Tramitação
;;;;;;;;;;
114;   ;2021;;Projeto de Lei;;Nilton Militão;;Autoriza o Poder Executivo a implantar geradores de energia nas Unidades de Atenção Primária à Saúde no Município de Juiz de Fora.;;Em Tramitação
;;;;;;;;;;
113;   ;2021;;Projeto de Lei;;Maurício Delgado, Vagner de Oliveira, Zé Márcio, Tiago Bonecão;;Acrescenta dispositivos na Lei Municipal Nº 14.138, de 21 de dezembro de 2020, que Dispõe sobre o direito de preferência à vacinação contra a covid-19 (novo coronavírus), no Município de Juiz de Fora, às pessoas prioritárias e inclusas no grupo de risco que menciona.;;Em Tramitação
;;;;;;;;;;
112;   ;2021;;Projeto de Lei;;Tiago Bonecão;;Projeto de Lei Garizinho;;Em Tramitação
;;;;;;;;;;
111;   ;2021;;Projeto de Lei;;Tiago Bonecão;;Projeto de lei Cultura é Para Todos;;Em Tramitação
;;;;;;;;;;
110;   ;2021;;Projeto de Lei;;Maurício Delgado, Bejani Júnior, Zé Márcio, Julinho Rossignoli, Kátia Franco Protetora, Marlon Siqueira, Tiago Bonecão;;Altera os artigos 1º, 6º, 7º e 10 da LEI Nº 14.187 de 24 de Maio de 2021.;;Em Tramitação
;;;;;;;;;;
109;   ;2021;;Projeto de Lei;;Bejani Júnior, André Luiz;;Dispõe sobre o direito de lactantes, com ou sem comorbidades, serem incluídas na lista de prioridades do Plano Municipal de Imunização – Covid 19.;;Em Tramitação
;;;;;;;;;;
108;   ;2021;;Projeto de Lei;;André Luiz, Julinho Rossignoli, Maurício Delgado, Tiago Bonecão;;Obriga a rede bancária do Município de Juiz de Fora a disponibilizar sistema de senhas em braile e em áudio para atendimento e dá outras providências.;;Em Tramitação
;;;;;;;;;;
107;   ;2021;;Projeto de Lei;;Marlon Siqueira;;Acrescenta o dispositivo que menciona.;;Em Tramitação
;;;;;;;;;;
106;   ;2021;;Projeto de Lei;;Nilton Militão;;Dispõe sobre denominação de Logradouro Público. (Estrada Theodoro Guerra de Oliveira);;Em Tramitação
;;;;;;;;;;
105;   ;2021;;Projeto de Lei;;Sargento Mello Casal, Bejani Júnior;;Dispõe sobre a divulgação, com atualização diária, de lista de todos os vacinados contra o COVID-19, sob a responsabilidade da rede Pública de Saúde do Município de Juiz de Fora e dá outras Providências.;;Em Tramitação
;;;;;;;;;;
104;   ;2021;;Projeto de Lei;;André Luiz;;Dispõe sobre obrigatoriedade de publicação no site oficial da prefeitura, das Informações sobre a aplicação de recursos derivados de multas de trânsito no âmbito do município e dá outras providências.;;Em Tramitação
;;;;;;;;;;
103;   ;2021;;Projeto de Lei;;Marlon Siqueira;;Dispõe sobre a denominação do Parque Municipal Sesc/Prefeitura de Juiz de Fora Juracy Neves.;;Em Tramitação
;;;;;;;;;;
102;   ;2021;;Projeto de Lei;;Juraci Scheffer, Dr. Antônio Aguiar, Cido Reis, Zé Márcio, Nilton Militão;;Dispõe sobre a recomposição de vencimentos dos servidores da Câmara Municipal de Juiz de Fora, os valores das gratificações legislativas e dá outras providências;;Transformado em Norma Jurídica
;;;;;;;;;;
101;   ;2021;;Projeto de Lei;;Dr. Antônio Aguiar;;Dispõe sobre a criação e distribuição gratuita do “Cordão de Girassol” àqueles que possuam doenças, deficiências e/ou transtornos considerados ocultos, como forma de identificá-los nos estabelecimentos públicos e privados, com o objetivo de prestar a eles um atendimento preferencial.;;Em Tramitação
;;;;;;;;;;
100;   ;2021;;Projeto de Lei;;Vagner de Oliveira;;Dispõe sobre denominação de logradouro público. (José Roberto de Souza);;Em Tramitação
;;;;;;;;;;
99;   ;2021;;Projeto de Lei;;Nilton Militão;;Dispõe sobre denominação de Logradouro Público. (Rua Edson de Oliveira Braz);;Em Tramitação
;;;;;;;;;;
98;   ;2021;;Projeto de Lei;;Bejani Júnior;;Autoriza a distribuição gratuita de leite com fórmulas infantis especiais para crianças lactentes, nas condições que especifica no município de Juiz de Fora.;;Em Tramitação
;;;;;;;;;;
97;   ;2021;;Projeto de Lei;;Bejani Júnior;;Dispõe sobre a implantação de medidas de informação e proteção à gestante e parturiente contra a violência obstétrica no município de Juiz de Fora.;;Em Tramitação
;;;;;;;;;;
96;   ;2021;;Projeto de Lei;;Bejani Júnior;;Dispõe sobre a reserva de 5% das vagas de emprego, para egressos do sistema prisional, em todos os editais de licitação e contratos diretos sem licitação para execução de obras públicas pelo município de Juiz de Fora.;;Em Tramitação
;;;;;;;;;;
95;   ;2021;;Projeto de Lei;;Laiz Perrut, Cida Oliveira, Kátia Franco Protetora, Tallia Sobral;;Dispõe sobre o oferecimento de absorventes higiênicos em escolas e unidades básicas de saúde através do Programa Municipal de Erradicação da Pobreza Menstrual no município de Juiz de Fora.;;Em Tramitação
;;;;;;;;;;
94;   ;2021;;Projeto de Lei;;Marlon Siqueira;;Declara de Utilidade Pública Municipal a Associação Casa de Itália.;;Em Tramitação
;;;;;;;;;;
93;   ;2021;;Projeto de Lei;;Tallia Sobral;;Dispõe sobre os direitos garantidos na Casa Abrigo do município de Juiz de Fora, e dá outras providências.;;Em Tramitação
;;;;;;;;;;
92;   ;2021;;Projeto de Lei;;Julinho Rossignoli;;Dispõe sobre a afixação de placa que informa sobre a proibição de discriminação nos locais em que especifica e dá outras providências.;;Em Tramitação
;;;;;;;;;;
91;   ;2021;;Projeto de Lei;;João Wagner;;Dispõe sobre a obrigatoriedade de apresentação do cartão de vacinação contra a Covid-19 nos locais que prestam serviços ao público para a obtenção de serviços, no Município de Juiz de Fora.;;Em Tramitação
;;;;;;;;;;
90;   ;2021;;Projeto de Lei;;Nilton Militão;;Dispõe sobre a inclusão de medidas de conscientização, prevenção e combate à automutilação e ao suicídio no projeto pedagógico das escolas municipais e dá outras providências.;;Em Tramitação
;;;;;;;;;;
89;   ;2021;;Projeto de Lei;;Nilton Militão;;Assegura à criança e ao adolescente cujos pais ou responsáveis sejam pessoas com deficiência ou com idade igual ou superior a 60 (sessenta) anos a máxima prioridade de vaga em unidade da rede pública municipal de ensino mais próxima de sua residência.;;Em Tramitação
;;;;;;;;;;
88;   ;2021;;Projeto de Lei;;Sargento Mello Casal, Bejani Júnior, Tiago Bonecão;;Dispõe sobre a prestação dos serviços de atividades educacionais no Município de Juiz de Fora, em situação de emergência ou estado de calamidade em decorrência de crise sanitária ou de saúde pública.;;Em Tramitação
;;;;;;;;;;
87;   ;2021;;Projeto de Lei;;Cido Reis;;Dispõe sobre denominação de logradouro público. (Rua Altair Fernandes da Mota);;Em Tramitação
;;;;;;;;;;
