Projeto;;Ano;;Tipo;;Autor;;Ementa;;Situação
6;   ;2021;;Projeto de Lei Complementar;;Pardal;;Inclui o §1º no artigo 13 da Lei nº 5.546, de 26 de dezembro de 1978, que Institui o Código Tributário Municipal.;;Em Tramitação
;;;;;;;;;;
5;   ;2021;;Projeto de Lei Complementar;;João Wagner;;Altera a regra do art. 420, da Lei n. 11.197, de 3 de agosto de 2006, que “Institui o Código de Posturas no Município de Juiz de Fora e dá outras providências. acrescido pela Lei nº 12.855, de 26 de janeiro de 2007.;;Em Tramitação
;;;;;;;;;;
4;   ;2021;;Projeto de Lei Complementar;;João Wagner;;Altera a Lei n° 6.910, de 31 de maio de 1986.;;Em Tramitação
;;;;;;;;;;
3;   ;2021;;Projeto de Lei Complementar;;Laiz Perrut;;Acrescenta dispositivos ao Estatuto do Servidor Municipal para prever a tramitação prioritária dos processos administrativos funcionais que envolvam vítima de violência doméstica e familiar contra a mulher.;;Transformado em Norma Jurídica
;;;;;;;;;;
2;   ;2021;;Projeto de Lei Complementar;;Pardal;;Inclui o inciso X no artigo 48 da Lei Municipal nº 5546, de 26 de dezembro de 1978.;;Em Tramitação
;;;;;;;;;;
1;   ;2021;;Projeto de Lei Complementar;;Juraci Scheffer;;Altera a Lei n° 6.910, de 31 de maio de 1986 e a e Lei Complementar nº 6, de 27 de novembro de 2013;;Transformado em Norma Jurídica
;;;;;;;;;;
26;   ;2020;;Projeto de Lei Complementar;;Wanderson Castelar;;Altera a ordem das alíneas e dá nova redação ao inciso VII do parágrafo 1°, artigo 31, da lei 6.908/1986, que dispõe sobre o parcelamento do solo no município de Juiz de Fora.;;Arquivada
;;;;;;;;;;
25;   ;2020;;Projeto de Lei Complementar;;Wanderson Castelar;;Altera a ordem das alíneas e dá nova redação ao inciso VII do parágrafo 1°, artigo 31, da lei 6.908/1986, que dispõe sobre o parcelamento do solo no município de Juiz de Fora.;;Arquivada
;;;;;;;;;;
24;   ;2020;;Projeto de Lei Complementar;;Rodrigo Mattos;;Altera a Lei nº 6.910, de 31 de maio de 1986 e suas alterações posteriores, que dispõe sobre o ordenamento do uso e ocupação do solo no Município de Juiz de Fora.;;Arquivada
;;;;;;;;;;
23;   ;2020;;Projeto de Lei Complementar;;Marlon Siqueira;;Altera a Lei Municipal n.º 10.630, de 30 de dezembro de 2003, que “Dispõe sobre o Imposto sobre Serviços de Qualquer Natureza - ISSQN” e dá outras providências.;;Em Tramitação
;;;;;;;;;;
22;   ;2020;;Projeto de Lei Complementar;;Pardal;;Dispõe sobre alteração quanto aos limites da Unidade Territorial XIV, bem como inserção de zoneamento de uso e ocupação de solo na área objeto deste dispositivo legal.;;Em Tramitação
;;;;;;;;;;
21;   ;2020;;Projeto de Lei Complementar;;Pardal;;Altera a Lei n° 6.910, de 31 de maio de 1986, quanto ao zoneamento no Loteamento Terras Altas.;;Transformado em Norma Jurídica
;;;;;;;;;;
20;   ;2020;;Projeto de Lei Complementar;;André Mariano;;Altera o artigo 40 da lei 6910/86;;Transformado em Norma Jurídica
;;;;;;;;;;
19;   ;2020;;Projeto de Lei Complementar;;Rodrigo Mattos;;Altera a Lei Municipal N° 6.910 de 31 de maio de 1986 e legislações posteriores;;Transformado em Norma Jurídica
;;;;;;;;;;
18;   ;2020;;Projeto de Lei Complementar;;Dr. Fiorilo;;Dispõe sobre a dispensa de folhas de receituário de notificação de receita B (receita azul) e dá outras providências.;;Arquivada
;;;;;;;;;;
17;   ;2020;;Projeto de Lei Complementar;;Rodrigo Mattos;;Altera o Anexo 7, da Lei nº 6.910, de 31 de maio de 1986 e suas alterações posteriores, que dispõe sobre o ordenamento do uso e ocupação do solo no Município de Juiz de Fora, inserindo as atividades que menciona.;;Arquivada
;;;;;;;;;;
16;   ;2020;;Projeto de Lei Complementar;;Cido Reis;;Altera a Lei n° 6.910, de 31 de maio de 1986.;;Transformado em Norma Jurídica
;;;;;;;;;;
15;   ;2020;;Projeto de Lei Complementar;;Dr. Fiorilo;;Altera o caput do art. 36 da Lei Complementar nº 064 de 24 de julho de 2017, que “Institui o Código Sanitário Municipal de Juiz de Fora”, acrescentando os incisos I e II e dá outras providências.;;Arquivada
;;;;;;;;;;
14;   ;2020;;Projeto de Lei Complementar;;Dr. Fiorilo;;Dispõe sobre a dispensa de folhas de receituário de notificação de receita B (receita azul) e dá outras providências.;;Arquivada
;;;;;;;;;;
13;   ;2020;;Projeto de Lei Complementar;;Zé Márcio, Cido Reis, João Coteca, Kennedy Ribeiro, Nilton Militão;;Modifica a Lei Complementar nº 23, de 22 de junho de 2015;;Em Tramitação
;;;;;;;;;;
12;   ;2020;;Projeto de Lei Complementar;;Zé Márcio, Cido Reis, Vagner de Oliveira, Kennedy Ribeiro;;Estabelece normas para retificação do limite urbano do município;;Transformado em Norma Jurídica
;;;;;;;;;;
11;   ;2020;;Projeto de Lei Complementar;;Zé Márcio, Cido Reis, Vagner de Oliveira, Kennedy Ribeiro;;Altera o art. 11 da Lei nº 6.087, de 8 de dezembro de 1981.;;Arquivada
;;;;;;;;;;
10;   ;2020;;Projeto de Lei Complementar;;Pardal;;Altera a Lei nº 6.910, de 31 de maio de 1986;;Transformado em Norma Jurídica
;;;;;;;;;;
9;   ;2020;;Projeto de Lei Complementar;;Rodrigo Mattos;;Dispõe sobre a alteração do Art. 7º da Lei nº 9204 de 15 de janeiro de 1998.;;Transformado em Norma Jurídica
;;;;;;;;;;
8;   ;2020;;Projeto de Lei Complementar;;Marlon Siqueira;;Altera o Anexo 7, da Lei nº 6.910, de 31 de maio de 1986 e suas alterações posteriores, que dispõe sobre o ordenamento do uso e ocupação do solo no Município de Juiz de Fora, inserindo as atividades que menciona.;;Transformado em Norma Jurídica
;;;;;;;;;;
7;   ;2020;;Projeto de Lei Complementar;;Rodrigo Mattos;;Altera a Lei nº 6.910, de 31 de maio de 1986 e a Lei Complementar nº 6, de 27 de novembro de 2013.;;Transformado em Norma Jurídica
;;;;;;;;;;
6;   ;2020;;Projeto de Lei Complementar;;Pardal;;Dispõe sobre o cálculo de número de compartimentos sanitários em edificações não residenciais.;;Transformado em Norma Jurídica
;;;;;;;;;;
5;   ;2020;;Projeto de Lei Complementar;;Pardal;;Inclui Zona de Urbanização Específica no Município.;;Transformado em Norma Jurídica
;;;;;;;;;;
4;   ;2020;;Projeto de Lei Complementar;;Ana Rossignoli, André Mariano, Cido Reis, Sargento Mello Casal, Zé Márcio, Kennedy Ribeiro, Juraci Scheffer, Júlio Obama Jr., Pardal, Marlon Siqueira, Wanderson Castelar;;Altera as Leis nº 12450, de 26 de dezembro de 2011 e Lei nº 6910 de 31 de maio de 1986, e dá outras providências.;;Transformado em Norma Jurídica
;;;;;;;;;;
3;   ;2020;;Projeto de Lei Complementar;;André Mariano, Pardal;;Altera categoria de uso de loteamentos na região do Bairro Bom Pastor.;;Transformado em Norma Jurídica
;;;;;;;;;;
2;   ;2020;;Projeto de Lei Complementar;;Rodrigo Mattos;;Revoga a Lei Complementar n° 108, de 20 de dezembro de 2019.;;Arquivada
;;;;;;;;;;
1;   ;2020;;Projeto de Lei Complementar;;Pardal;;Altera a Lei Complementar n° 88, de 03 de dezembro de 2018.;;Transformado em Norma Jurídica
;;;;;;;;;;
18;   ;2019;;Projeto de Lei Complementar;;Pardal;;Altera a Lei n° 6.910, de 31 de maio de 1986.;;Transformado em Norma Jurídica
;;;;;;;;;;
17;   ;2019;;Projeto de Lei Complementar;;Pardal;;Altera a Lei n° 8.118, de 17 de julho de 1992.;;Em Tramitação
;;;;;;;;;;
16;   ;2019;;Projeto de Lei Complementar;;Pardal;;Altera a Lei n° 6.910, de 31 de maio de 1986.;;Transformado em Norma Jurídica
;;;;;;;;;;
15;   ;2019;;Projeto de Lei Complementar;;Dr. Antônio Aguiar, Zé Márcio;;Altera a Lei Complementar n° 062 de 26 de junho de 2017.;;Em Tramitação
;;;;;;;;;;
14;   ;2019;;Projeto de Lei Complementar;;Wanderson Castelar;;Altera a lei nº 6910, de 31 de maio de 1986 e a lei Complementar nº 6, de 27 de novembro de 2013, quanto ao uso e ocupação do solo no bairro Aeroporto.;;Transformado em Norma Jurídica
;;;;;;;;;;
13;   ;2019;;Projeto de Lei Complementar;;Zé Márcio;;Acrescenta §3° ao artigo 1° da Lei Complementar nº 78 de 27 de abril de 2018.;;Em Tramitação
;;;;;;;;;;
12;   ;2019;;Projeto de Lei Complementar;;Zé Márcio;;Institui o Benefício ao Bom Pagador de IPTU no Município de Juiz de Fora.;;Em Tramitação
;;;;;;;;;;
11;   ;2019;;Projeto de Lei Complementar;;Vagner de Oliveira;;Altera a lei 6910 de 31 de maio de 1986, e suas alterações posteriores, quanto ao uso e ocupação do solo.;;Transformado em Norma Jurídica
;;;;;;;;;;
10;   ;2019;;Projeto de Lei Complementar;;Dr. Adriano Miranda;;Altera a Lei Complementar nº 54 de 10 de agosto de 2016, que Dispõe sobre a relação de vaga de garagem por unidade autônoma.;;Arquivada
;;;;;;;;;;
9;   ;2019;;Projeto de Lei Complementar;;Dr. Fiorilo;;Proíbe o uso de área de fachada recuada de prédios em via pública, com rebaixo de meio fio, para estacionamento exclusivo para clientes no Município de Juiz de Fora, e dá outras providências.;;Arquivada
;;;;;;;;;;
8;   ;2019;;Projeto de Lei Complementar;;Rodrigo Mattos;;Altera a Lei 6910/86 quanto ao uso e ocupação do solo.;;Transformado em Norma Jurídica
;;;;;;;;;;
7;   ;2019;;Projeto de Lei Complementar;;Pardal, Marlon Siqueira;;Altera a Lei n° 6.910, de 31 de maio de 1986.;;Transformado em Norma Jurídica
;;;;;;;;;;
6;   ;2019;;Projeto de Lei Complementar;;Dr. Fiorilo;;Altera a redação do art. 1° da Lei n° 7.728, de 18 de maio de 1990, que Dispõe sobre a isenção de pagamento de taxas, acrescentando os arts. 1°-A, incisos I, II e III, 1°-B e 1°-C e dá outras providências.;;Arquivada
;;;;;;;;;;
5;   ;2019;;Projeto de Lei Complementar;;Zé Márcio, Juraci Scheffer;;Dispõe sobre o uso e ocupação do solo para as vias e para o loteamento que menciona.;;Em Tramitação
;;;;;;;;;;
4;   ;2019;;Projeto de Lei Complementar;;Pardal;;Altera a Lei n° 6.910, de 31 de maio de 1986.;;Transformado em Norma Jurídica
;;;;;;;;;;
