Projeto;;Ano;;Tipo;;Autor;;Ementa;;Situação
4443;   ;2021;;Mensagem do Executivo (Projeto de Lei Complementar);;Executivo;;Altera dispositivos da Lei Complementar n° 90, de 07 de fevereiro de 2019 e dá outras providências.;;Transformado em Norma Jurídica
;;;;;;;;;;
4439;   ;2021;;Mensagem do Executivo (Projeto de Lei Complementar);;Executivo;;Altera a Lei n° 12.325, de 20 de julho de 2011, a Lei Complementar n° 47, de 1° de julho de 2016, e dá outras providências.;;Transformado em Norma Jurídica
;;;;;;;;;;
4426;   ;2020;;Mensagem do Executivo (Projeto de Lei Complementar);;Executivo;;Altera dispositivos da Lei n° 8.710, de 31 de julho de 1995 (Dispõe sobre o Estatuto dos Servidores Públicos da administração direta do Município de Juiz de Fora, de suas autarquias e fundações públicas), da Lei n° 14.086, de 16 de setembro de 2020, e dá outras providências.;;Transformado em Norma Jurídica
;;;;;;;;;;
4425;   ;2020;;Mensagem do Executivo (Projeto de Lei Complementar);;Executivo;;Estabelece medida transitória e excepcional para permitir a prorrogação do prazo de validade dos contratos temporários firmados por excepcional interesse público, na forma do art. 195, IX, da Lei n° 8.710, de 31 de julho de 1995, para as carreiras de Coordenador Pedagógico e Professor Regente A e B da rede municipal de ensino, exclusivamente no ano de 2021, e dá outras providências.;;Transformado em Norma Jurídica
;;;;;;;;;;
4424;   ;2020;;Mensagem do Executivo (Projeto de Lei Complementar);;Executivo;;Altera a Lei Municipal nº 10.862, de 22 de dezembro de 2004, que Dispõe sobre o Imposto sobre a Transmissão de Bens Imóveis Inver Vivos, e dá outras providências.;;Transformado em Norma Jurídica
;;;;;;;;;;
4421;   ;2020;;Mensagem do Executivo (Projeto de Lei Complementar);;Executivo;;Altera a Lei Municipal nº 5.546, de 26 de dezembro de 1978 que Institui o Código Tributário Municipal dá outras providências.;;Arquivada
;;;;;;;;;;
